,Title,Word_Count,Links,Hashtags,User_Mentions,Favorite,Retweet
39,"@ABorreroVega YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
40,"@OEA_oficial YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",38,0,0,1,0,0
41,"PRESIDENTES 🇪🇨 % APROB. INICIO

Jaime Roldos 68
Oswaldo Hurtado 43
Leon Febres-Cordero 44
Rodrigo Borja 46
Sixto Durán 51
Abdala Bucaram 67
Fabian Alarcon 63
Jamil Mahuad 66
Gustavo Noboa 51
L. Gutiérrez 64
Alfredo Palacios 53
Rafael Correa 68
Lenin Moreno 66
Guillermo Lasso 71.4 https://t.co/VKFZHJ4w4p",48,0,0,0,3,1
42,"@Vera_ASuManera @tctelevision 1A. Todavía estoy esperando q este guillermo lasso d un resumen d como encontró el gobierno d las manos d Lerdin El Cuentico, q también mencione q los mas millonarios d Ecuador arrimen el hombro pagando sus impuestos justos y no evadirlos y cobrar impuestos a salidas d divisas a",52,0,0,2,0,0
43,"@Vera_ASuManera @tctelevision Pregúntale a guillermo lasso q profesas d ser transparente, vas a denunciar ante la ley a los genocidas Lerdin moreno, maria paula romo, oswaldo jarrin, etc por el desastre como dejan el país y todo esta en el informe del defensor del pueblo y d Derechos Humanos en Ecuador.",51,0,0,2,0,0
44,"@Vera_ASuManera @tctelevision YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",39,0,0,2,0,0
45,"@Vera_ASuManera @CarlosVerareal @tctelevision 1A. Todavía estoy esperando q este guillermo lasso d un resumen d como encontró el gobierno d las manos d Lerdin El Cuentico, q también mencione q los mas millonarios d Ecuador arrimen el hombro pagando sus impuestos justos y no evadirlos y cobrar impuestos a salidas d divisas a",53,0,0,3,0,0
46,"@Vera_ASuManera @CarlosVerareal @tctelevision Pregúntale a guillermo lasso q profesas d ser transparente, vas a denunciar ante la ley a los genocidas Lerdin moreno, maria paula romo, oswaldo jarrin, etc por el desastre como dejan el país y todo esta en el informe del defensor del pueblo y d Derechos Humanos en Ecuador.",52,0,0,3,0,0
47,"@Vera_ASuManera @CarlosVerareal @tctelevision YO TAMPOCO SOY lenin moreno en ECUADOR🇪🇨 TRAIDOR, CORRUPTO Y GENOCIDA.
Quiero saber la verdad sobre INA PAPERS donde Moreno esconde dinero d la CORRUPCIÓN
Cuenta#100-04-1071378, INA INVESTMENT CORP, Balboa Bank Panamá. lenin moreno=guillermo lasso quienes cogobernaron&amp;encubrieron",40,0,0,3,0,0
48,Presidente Guillermo Lasso se someterá a una cirugía en EE. UU. -#GuillermoLasso #EEUU #Cirugia #Guayaquil #Ecuador  https://t.co/WhQJCk6zMb,17,1,5,0,0,0
49,"El gobierno de Guillermo Lasso propuso una política ambiental de transición ecológica.

https://t.co/WhgzgVUe2Q",13,1,0,0,3,1
50,El delincuente Guillermo Lasso sigue con el robo https://t.co/D7xzkMzvjP,9,1,0,0,10,9
51,"@kinoraxx Lo que pasa don Guillermo Lasso recoge toda la basura, para luego decir que fue toda la culpa de los ministros y acompañantes del gobierno simple se lava las manos así actúan los neoliberales ellos son tan buenos para robar al pueblo sin que nadie les acuse porque son cuello blan",52,0,0,1,0,0
52,"@Monchiito_ Pues claro, todos tenemos nuestras esperanzas en el presidente Guillermo Lasso...",12,0,0,1,0,0
53,"GUILLERMO LASSO Y LENIN MORENO DECÍAN Q CORREA Y MADURO FINANCIABAN LAS PROTESTAS DE OCT PERO YA SE CONOCE A NIVEL IINTERNACIONAL Q LENIN VENDIÓ BOMBAS LACRIMOGENAS CON SOBREPRECIO A BOLIVIA PARA APOYAR EL GOLPE DE ESTADO. 
@eluniversocom Venezolanos
https://t.co/cjgMnFcYGi https://t.co/OjXi4T13MJ",41,1,0,1,0,0
54,"Los problemas del Ecuador cada vez más graves... pero no importa porque el banquero bachiller delincuente Guillermo Lasso viste a la moda, se peina como si tuviera 23 años y vive en un hotel lujoso🙄 https://t.co/7dt0WQehF1",36,0,0,0,14,5
55,@ComunicacionEc @LassoGuillermo Señor Presidente Guillermo Lasso .Cuente con nuestras oraciones en la intervención quirúrgica. Declaramos milagros creativos Él es el médico por excelencia  y creemos también en la ciencia y que aquellos profesionales que estarán interviniendo todo será exitoso.🙏❤📖.,39,0,0,2,0,0
56,"GUILLERMO LASSO, LENIN MORENO DECÍAN Q CORREA Y MADURO FINANCIABAN PROTESTAS DE OCTUBRE PERO ES ESCÁNDALO INTERNACIONAL LA VENTA DE GASES LACRIMOGENOS CON SOBREPRECIO DE LENIN MORENO AL GOLPE DE ESTADO EN BOLIVIA ecuavisa @uees_ec @UCatolicaEC @lacentralec
https://t.co/cjgMnFcYGi https://t.co/mutNTI7esv",39,1,0,3,0,0
57,"Mantuvimos una reunión con el Msc. Marcelo Simbaña Villarreal Gobernador de #Imbabura con el objetivo de articular un trabajo en conjunto y poder reflejar el plan de gobierno de nuestro presidente Guillermo Lasso en nuestra querida provincia. 🤜🤛🏽🇪🇨

@goberimbabura https://t.co/qmarqOarXW",40,0,1,1,3,0
58,"Presidente Guillermo Lasso dirá presente en el partido de Ecuador ante Perú 
Detalles ➡️ https://t.co/0qYFk9QcGO https://t.co/Sg10PKGUd3",16,1,0,0,0,0
59,"El gobierno del banquero bachiller delincuente Guillermo Lasso sigue maltratando a los adultos, a los médicos y personal de primera linea. https://t.co/CaXUfIG2sg",22,1,0,0,7,6
60,"#Nacional
A partir de las 11:00 de este martes 8 de junio, en el Palacio de Carondelet, se instaló la reunión programada entre el presidente, funcionarios de Gobierno y representantes de distintos gremios del transporte terrestre del país. Leer más 👉 https://t.co/sKRqn4iUjc 📰 https://t.co/AMlqPX4nFE",44,1,1,0,1,0
61,"El presidente Guillermo Lasso se reunió con los transportistas 
https://t.co/dOJUZWDSYu 

El presidente Guillermo Lasso se reunió esta mañana con los transportistas, quienes le transmitieron sus inquietudes pero también su ...",30,1,0,0,0,0
62,#ATENCIÓN | Presidente Guillermo Lasso ratifica Plan Toda Una Vida; Secretaría creada en el régimen de Lenín Moreno » https://t.co/wI3tClzerX https://t.co/l751ZaggxX,21,1,1,0,103,26
63,"El ministro no quiere. El socialcristiano Clemente Vásquez indicó que el presidente Guillermo Lasso le ofreció ser el Viceministro de Transporte y Obras Públicas y ya aceptó. Pero el ministro de esa cartera, Marcelo Cabrera, no está convencido. https://t.co/9fe5caJVzE",39,0,0,0,77,28
64,Guillermo #Lasso mantiene el #Plan Toda Una Vida https://t.co/G8O5ChvV0t @elyex #Mantener #TodaUnaVida https://t.co/SzSMKTBIqP,13,1,4,1,0,0
65,"#ECUADOR | El presidente Guillermo Lasso se reunió en Carondelet con el sector de los transportistas, funcionarios de Gobierno y dirigentes de servicio urbano de Guayaquil. El gremio de transporte terrestre del país solicitó que se focalicen los subsidios a la gasolina. https://t.co/kYS0SERBso",43,0,1,0,0,0
66,#VIDEO | Transportistas ofrecen su respaldo al gobierno https://t.co/akRjjCWHXK,9,1,1,0,18,6
67,"#ECUADOR.- Una vez firmado el Decreto Ejecutivo de Políticas Educativas por el presidente de la República Guillermo Lasso Mendoza junto a la Ministra de Educación María Brown Pérez, uno de los 5 ejes permitirá viabilizar el retorno a clases presenciales conforme a la…",43,0,1,0,0,0
68,Que bellos momentos en campañas del Presidente Guillermo Lasso. @LassoJuanEmilio @MLAlcivar @LassoGuillermo @LassoGE @LassoSX @CesarMongeO  👏 https://t.co/5xfK0TL2oK,17,1,0,6,0,0
69,@LassoGuillermo buenas tardes presidente guillermo lasso q me  aga  un favor q me agan un prestamo para pagar  deudas,19,0,0,1,0,0
70,"El presidente Guillermo Lasso se reúne este 8 de junio de 2021 con dirigentes de los transportistas del país en el Palacio de Carondelet, en el Centro Histórico de Quito. https://t.co/2wzXCjuLXo",31,1,0,0,2,1
71,@MoniPalaciosZ @LassoGuillermo Guillermo Lasso abriendo el Ecuador al mundo ciudadanos de exportacion,12,0,0,2,1,1
72,El engaño  de campaña  de Guillermo  Lasso  que pararia el robo atravez de la planilla  hoy  no le importa  a pesar  que diario se denuncia  cientos  de robos en las planillas https://t.co/iq52dTFFO5,32,0,0,0,0,0
73,#MetroNoticias I El presidente Guillermo #Lasso hizo el anuncio: https://t.co/sKTmsvSVuj https://t.co/WuqHZzVjCS,11,1,2,0,9,2
74,@PatricioJijonL1 Se decía Lasso es https://t.co/IeFCyxgxkD parecía un símil ridículo.Pero los hechos lo están demostrando.Guillermo Lasso está reciclando a los pícaros e ineptos colaboradores de la robolucion ciudadana como si Ecuador no puede continuar sin aquellos.,36,1,0,1,1,2
75,"El próximo 21 de junio, el presidente Guillermo #Lasso viajará a Estados Unidos para someterse a una nueva operación de la médula espinal. Retornará el 30 de junio siguiente. Serán tres días de #hospitalización y cuatro de terapia física.
#LaPrensaInforma https://t.co/NVJ91sm5B1",41,0,3,0,1,1
76,"#Comunidad// El presidente Guillermo Lasso se reunió con funcionarios de Gobierno y representantes de distintos gremios del transporte terrestre del país, en el Palacio de Carondelet. 

Más detalles en el siguiente enlace👇
https://t.co/NalX8gCes6 https://t.co/hYIq4vm5jF",34,1,1,0,1,0
77,"@hperezloose Arr,del sr,@Prez Loose CAMPO MINADO,El primero en leer deberia seré,@Se,@Guillermo Lasso porque lo,peor de todo es que él el Prsidente no comprende nada y está ya rodeado de muchos correistas,,  icumpliendolo# q@ prometió LIMPIARDEADENTRO HACIA AFUERA DE  CORRESTAS, !!!!!!",40,0,0,4,0,0
