,Horas,No_Vacunacion
753,4428,1510
754,4433,1511
755,4436,1512
756,4440,1516
757,4441,1515
758,4449,1518
759,4450,1519
760,4461,1521
761,4462,1522
762,4466,1523
763,4470,1526
764,4478,1527
765,4490,1531
766,4502,1533
767,4505,1535
768,4507,1536
769,4508,1537
770,4509,1540
771,4515,1541
772,4515,1543
773,4524,1545
774,4526,1546
775,4528,1548
776,4530,1547
777,4541,1554
778,4550,1556
779,4551,1557
780,4553,1558
781,4564,1564
782,4566,1563
783,4587,1570
784,4597,1572
785,4611,1576
786,4614,1577
787,4616,1578
788,4625,1580
789,4633,1581
790,4635,1583
791,4636,1584
792,4649,1589
793,4655,1590
794,4659,1592
795,4678,1597
796,4683,1598
797,4692,1600
798,4698,1603
799,4703,1606
800,4713,1609
801,4715,1610
802,4721,1612
803,4726,1613
804,4726,1614
805,4730,1615
806,4735,1617
807,4738,1618
808,4759,1623
809,4768,1626
810,4770,1625
811,4770,1627
812,4786,1630
813,4796,1633
814,4805,1636
815,4810,1637
816,4820,1641
817,4824,1640
818,4830,1642
819,4836,1643
820,4842,1645
821,4847,1646
822,4848,1648
823,4853,1652
824,4855,1650
825,4856,1653
826,4858,1651
827,4875,1658
828,4879,1657
829,4885,1661
830,4886,1662
831,4891,1663
832,4894,1665
833,4906,1668
834,4917,1672
835,4933,1676
836,4937,1677
837,4950,1679
